SessionID,Timestamp,Event,SampleIndex,RawDistance_mm
20260915_161741,2026-09-15 16:21:09,Calibration_TankBottom,63,477,0
20260915_161741,2026-09-15 16:21:09,Calibration_TankBottom,64,477,0
20260915_161741,2026-09-15 16:21:09,Calibration_TankBottom,65,476,0
20260915_161741,2026-09-15 16:21:10,Calibration_TankBottom,66,476,0
20260915_161741,2026-09-15 16:21:10,Calibration_TankBottom,67,476,0
20260915_161741,2026-09-15 16:21:10,Calibration_TankBottom,68,476,0
20260915_161741,2026-09-15 16:21:10,Calibration_TankBottom,69,477,0
20260915_161741,2026-09-15 16:21:10,Calibration_TankBottom,70,477,0
20260915_161741,2026-09-15 16:21:11,Calibration_TankBottom,71,477,0
20260915_161741,2026-09-15 16:21:11,Calibration_TankBottom,72,476,0
20260915_161741,2026-09-15 16:21:11,Calibration_TankBottom,73,475,0
20260915_161741,2026-09-15 16:21:11,Calibration_TankBottom,74,476,0
